"物理表ID","平台","数据源","表名","中文注释","角色","证据级别","判断理由","核验范围","待确认问题","核验图版本","核验时间","证据ID"
"dataset:b0e794b95e2ffd9ec2f94bbba7af73e457ae4844857596535917d429c0860baf","hive","gfhive","dm_om_n.wt_emp_indi_data_mana_veal","零售人员考核指标加工","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游schema较集中，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:b0e794b95e2ffd9ec2f94bbba7af73e457ae4844857596535917d429c0860baf"
"dataset:bcd1fc6a4938ed216d6fa326ed536d064bd8649e0e8bf88e4e6624b5abfdcd4f","hive","gfhive","dm_om_n.wt_net_hnw_cust_info","互联网高净值客户相关信息表","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游schema较集中，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:bcd1fc6a4938ed216d6fa326ed536d064bd8649e0e8bf88e4e6624b5abfdcd4f"
"dataset:a7085d07e70e2eabd8944d36fc417dad2bc335f7f8da6ca3f9b75e33dec52841","hive","gfhive","dm_om_n.wt_cust_qtr_distr_anlz_info","客户季度分配分析信息表","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游schema较集中，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:a7085d07e70e2eabd8944d36fc417dad2bc335f7f8da6ca3f9b75e33dec52841"
"dataset:452cfb85d86de036c3406b967661b64ea8db78a38582f25ca670e92c1f742dbb","hive","gfhive","dm_cmpl_n.unit_cust_info","2.1机构客户信息汇总（固收）","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游schema较集中，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:452cfb85d86de036c3406b967661b64ea8db78a38582f25ca670e92c1f742dbb"
"dataset:f1de9f4b7690b1a31ba5eef0fa813a9085e165fd18b31478890227b02e190f10","hive","gfhive","dm_engin_n.wt_covt_bond_open_features_data","可转债开通模型特征表","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游schema较集中，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:f1de9f4b7690b1a31ba5eef0fa813a9085e165fd18b31478890227b02e190f10"
"dataset:db2727777717b1837aee3f51d38be8a96868d9f7d1896dea2e7a3b87d4c900d5","hive","gfhive","dm_om_n.wt_cust_ast_manage_info","客户资产包管理评价指标信息表","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游schema较集中，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:db2727777717b1837aee3f51d38be8a96868d9f7d1896dea2e7a3b87d4c900d5"
"dataset:5ae63b1571562da6b312951da1502799db1864df676a7975d1bba3482b707f6a","hive","gfhive","pdata_n.t01_pty","每天增量更新，存放当事人开户信息","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖4个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:5ae63b1571562da6b312951da1502799db1864df676a7975d1bba3482b707f6a"
"dataset:191443f761674f6cb2d5b0cb03686ff55c9c3375fa7d122bb555fa7312a5d17d","hive","gfhive","pdata_news_n.t02_cstd_prd_base_info","托管产品基本信息","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖2个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:191443f761674f6cb2d5b0cb03686ff55c9c3375fa7d122bb555fa7312a5d17d"
"dataset:cb49148d05fea91959abdd59da486116c694003d3bf7bc04987713d12ce2fd8a","hive","gfhive","dm_rsk_n.otc_trs_risk_plreport_temp","场外互换合约盈亏汇总-4-h15","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游schema较集中，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:cb49148d05fea91959abdd59da486116c694003d3bf7bc04987713d12ce2fd8a"
"dataset:0a1b60b542b9ca2056952956ae0179020172959b1116579b85faca51f72d774e","hive","gfhive","dm_rsk_n.otc_trs_risk_plreport_bkup","场外互换合约盈亏汇总","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游schema较集中，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:0a1b60b542b9ca2056952956ae0179020172959b1116579b85faca51f72d774e"
"dataset:acc454796a4803fbc658ec60dd43803f434a2f9c2aafef01c05d904bd4031271","hive","gfhive","dm_co_n.wt_digi_screen_pty_detail_s","机构大屏客户指标宽表","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游schema较集中，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:acc454796a4803fbc658ec60dd43803f434a2f9c2aafef01c05d904bd4031271"
"dataset:aff5b33ca29f23df44a562e3c0841df690808de9f677bd15d1f8169efdee6e80","hive","gfhive","dm_om_test.wt_emp_astpkgrela_admin_est_info","员工资产包管理评价指标信息表","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游schema较集中，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:aff5b33ca29f23df44a562e3c0841df690808de9f677bd15d1f8169efdee6e80"
"dataset:0ac67b63719f6ea3f351ad800a8d293556cfd87b40a5f7c1df7ed5ca37ef7656","hive","gfhive","pdata_news_n.t02_exch_quot_h","证券交易日行情","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游覆盖3个schema，说明复用分散，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:0ac67b63719f6ea3f351ad800a8d293556cfd87b40a5f7c1df7ed5ca37ef7656"
"dataset:21236f2a79b56f8073bcf3bc51c924f60325eb3068a423907bb9083b93181aa1","hive","gfhive","dm_fii_n.chrem_sub_corp_fix_icm_busi_month","理财子固收委业务数据","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游schema较集中，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:21236f2a79b56f8073bcf3bc51c924f60325eb3068a423907bb9083b93181aa1"
"dataset:53528ca0091450c7373f4c917ca2ce44b9bfedfbab9cc8a67d70ba46a5ed0260","hive","gfhive","dm_om_test.wt_org_astpkgrela_admin_est_info","机构资产包管理评价指标信息表","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游schema较集中，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:53528ca0091450c7373f4c917ca2ce44b9bfedfbab9cc8a67d70ba46a5ed0260"
"dataset:dfb90b87b66c1002dcd549a2080410c4363ff6e018dbc2723697c27a66cfbcf9","hive","gfhive","dm_crd_n.wt_crd_newin_cust_rank_s","未提供中文注释","UNKNOWN","METADATA_ONLY","缺少中文注释，且未核SQL；当前只保留未知标签。下游schema较集中，不能据此推断业务域。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:dfb90b87b66c1002dcd549a2080410c4363ff6e018dbc2723697c27a66cfbcf9"
"dataset:ff7035d571799990bb32295df179f4dd2308ef7e23dccc60e3c555226bb9dd0d","hive","gfhive","dm_om_n.wt_aum_eval_org_indi_data","资产包评价机构指标统计","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游schema较集中，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:ff7035d571799990bb32295df179f4dd2308ef7e23dccc60e3c555226bb9dd0d"
"dataset:a50f7b8a9690052dcec0683dff838df965ec1511f8d81b3dfe1632e791d426bd","hive","gfhive","dm_om_n.wt_sum_stati_rela_cust","汇总统计_资产包客户","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游schema较集中，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:a50f7b8a9690052dcec0683dff838df965ec1511f8d81b3dfe1632e791d426bd"
"dataset:85ad544e1a2fc599c42a1dd6d8e5e3abe62a16f1516803e2ec94b67f4719b5d7","hive","gfhive","dm_om_test.wt_sum_stati_rela_cust","汇总统计_资产包客户","BUSINESS_RESULT","METADATA_ONLY","中文注释表明其为指标、汇总、分析、特征、行情或业务明细结果；下游schema较集中，不因高入度改标为基础表。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:85ad544e1a2fc599c42a1dd6d8e5e3abe62a16f1516803e2ec94b67f4719b5d7"
"dataset:42d2de4c1029355be0a81c67d3f29d70e533a6b4e832f321f4ff6c6f45f4886d","hive","gfhive","dm_scrm_n.wt_busi_rela_proj_team","业务关系-项目成员表","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游schema较集中，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:42d2de4c1029355be0a81c67d3f29d70e533a6b4e832f321f4ff6c6f45f4886d"
