"类型","业务ID","名称","定义","输出库表","匹配当前IO表名","筛选范围","证据边界"
"indicator","ind2023072403029036","客户_持有产品个数_限定场外公募私募资管产品&剔除TA87&剔除现金增利_当月_无备注信息","客户_持有产品个数_限定场外公募私募资管产品&剔除TA87&剔除现金增利","dm_index_n.index_grp_prd_hold_num_mon","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024102232223515","客户_赎回理财产品明细_无限制条件_最近7天_无备注信息","赎回理财产品明细（最近7天）：产品类型包括：公募、私募、资管、OTC，不包含现金货币类、不含现金增利","dm_index_n.index_grp1_redpchremprddet_last7day","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023063051408932","客户_产品销售次数_无限制条件_无计算维度_无备注信息","客户在同一天多次购买同一个产品，则合并计算为一次,包含场外公募，私募，OTC，资管等","dm_index_n.index_grp_cust_prdsaletimes","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023080745931316","客户*产品_保有金额_金融产品_当日_无备注信息","本指标包含以下用来区分保有额的标签：
1. 场内场外
2. 公募私募资管OTC
3. 场外公募产品
4. 线上线下
5. 基金投顾
6.资管（不含现金增利）
7.公募（不含基金投顾）
8.场外公募（不含基金投顾）
9.现金增利
10.资管大集合、资管小集合
11.公募_现金货币类_场内/场外
12.总值","dm_index_n.index_cust_prd_ret_amt_finprd_tdy","是","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023080428709640","客户*产品_申购金额_金融产品_当日_无备注信息","本指标包含以下用来区分交易额的标签：
1. 场内场外
2. 公募私募资管OTC
3. 场外公募产品
4. 线上线下
5. 基金投顾
6.资管（不含现金增利）
7.公募（不含基金投顾）
8.场外公募（不含基金投顾）
9.现金增利
10.资管大集合、资管小集合
11.公募_现金货币类_场内/场外
12.总值","dm_index_n.index_cust_prd_purch_amt_finprd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023080324532311","客户*产品_认购金额_金融产品_当日_无备注信息","本指标包含以下用来区分交易额的标签：
1. 场内场外
2. 公募私募资管OTC
3. 场外公募产品
4. 线上线下
5. 基金投顾
6.资管（不含现金增利）
7.公募（不含基金投顾）
8.场外公募（不含基金投顾）
9.现金增利
10.资管大集合、资管小集合
11.公募_现金货币类_场内/场外
12.总值","dm_index_n.index_cust_prd_scrp_amt_finprd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023082963371031","员工_销售金额_认领关系&不含基金投顾&剔除货币基金及现金增利及90天内固收产品_当日_零售和机构柜台","每个交易日统计当日某员工名下符合以下条件的产品销售金额：
1. 员工与客户的关系为认领关系（状态为审核通过）
2. 金融产品包括公募，私募，资管，OTC，不含基金投顾
3. 剔除货币基金、现金增利和90天以内固收产品","dm_index_n.index_emp_clm_del_spec_prd_sale_amt","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023072503455820","客户_申购费&认购费_场外&公募&私募&资管&剔除现金增利&剔除基金投顾_当日_无备注信息","客户当日不同类型场外产品手续费，包括公募产品（剔除基金投顾）、私募产品、资管产品（剔除现金增利）；
上述三种产品相加 = 画像标签场外总手续费指标，tag_id为'tag999999999'","dm_index_n.index_cust_cms_pub_pvt_assm_delcash_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023073183052347","客户_首次交易日期_场外OTC产品&不含新客宝_当日_无备注信息","客户名下场外OTC产品（不含新客宝）首次交易日期","dm_index_n.index_cust_firdealdate_otcotcprd_ninclnew_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023080701187191","客户*产品_申购份额_金融产品&线下产品_当日_无备注信息","本指标包含以下用来区分保有额的标签：
1. 场内场外
2. 公募私募资管OTC
3. 场外公募产品
4. 线上线下
5. 基金投顾
6.资管（不含现金增利）
7.公募（不含基金投顾）
8.场外公募（不含基金投顾）
9.现金增利
10.资管大集合、资管小集合
11.公募_现金货币类_场内/场外
12.总值","dm_index_n.index_cust_prd_purch_shr_finprd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023072541989561","客户_首次购买日期_场外产品&不含现金增利及新客理财_无计算维度_无备注信息","首次场外产品购买日期(不含现金增利、新客理财)","dm_index_n.index_cust_firpurchdate_otcprd_ninclcash_newchrem","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023072807020301","客户_保有金额_场外产品&不含现金增利_当日_无备注信息","场外保有量（不包括现金增利）：otc/资管/私募/公募 /总和","dm_index_n.index_cust_tnramt_otcprd_ninclcash_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024071860536658","客户_场外交易次数_金融产品&剔除现金增利_当日_销售和赎回","客户当日场外金融产品销赎次数(剔除现金增利)","dm_index_n.index_grp1_otcdealtimes_finprd_nocash_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023080757087896","客户*产品_认购份额_金融产品&线下产品_当日_无备注信息","本指标包含以下用来区分保有额的标签：
1. 场内场外
2. 公募私募资管OTC
3. 场外公募产品
4. 线上线下
5. 基金投顾
6.资管（不含现金增利）
7.公募（不含基金投顾）
8.场外公募（不含基金投顾）
9.现金增利
10.资管大集合、资管小集合
11.公募_现金货币类_场内/场外
12.总值","dm_index_n.index_cust_prd_scrp_shr_finprd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023080796472796","客户*产品_保有份额_金融产品_当日_无备注信息","本指标包含以下用来区分保有额的标签：
1. 场内场外
2. 公募私募资管OTC
3. 场外公募产品
4. 线上线下
5. 基金投顾
6.资管（不含现金增利）
7.公募（不含基金投顾）
8.场外公募（不含基金投顾）
9.现金增利
10.资管大集合、资管小集合
11.公募_现金货币类_场内/场外
12.总值","dm_index_n.index_cust_prd_ret_shr_finprd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024042579094139","广发证券_成交金额_无限制条件_当日_无备注信息","每天线上平台产品的成交金额","dm_index_n.index_grp1_tramt_onlnchan_otcprd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024061256646573","客户*员工_新增净资产_开发关系&开户6个月内&10至25日均净资产大于50万元&个人客户_当月_零售柜台","取客户和员工为开发关系，客户对公分类为产品，客户的开户时间在6个月内且10-25日日均净资产大于50万的客户（交叉销售表的数据需要打五折，部分客户应业务特殊要求不需要打折）,筛选个人客户，以及历史从未被计算入新增净资产的客户所对应的净资产。
注：筛选私财客户。","dm_index_n.index_grp2_cuat_emp_addnetast_oact6mthinr_apdnetastgt50tty_mth_rcc","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024061230423733","客户*员工_新增净资产_开发关系&开户6个月内&10至25日均净资产大于1万元_当月_零售柜台","取客户和员工为开发关系，客户的开户时间在6个月（前第6个月10号到当月9号开户）内且10-25日日均净资产产大于1万的客户（交叉销售表的数据需要打五折，部分客户应业务特殊要求不需要打折），以及历史从未被计算入新增有效资产的客户所对应的净资产
注：筛选私财客户。","dm_index_n.index_grp2_cust_emp_addvldast_devrela_mth_rcc","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2025102978914645","客户&营业部&分公司_客户佣金总收入_新开户_当月_零售和机构柜台","本月初至T-1日，分支机构下新增开户、客户状态正常、有正常生效的普通账户的客户场内佣金收入+场外手续费合计。","dm_index_n.index_grp1_custcms_totincome_nwopacct_mth_ricc","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2025032857117435","客户&营业部&分公司_场外总手续费_无限定条件_当日_零售和机构柜台","计算客户的场外总手续费，场外总手续费计算分两种情况：
1、若交易类型代码不为空且实收佣金 = 0，则场外总手续费 =过户费 ，否则场外总手续费 = 实收佣金。
2、若交易类型代码为空。则场外总手续费 =实收佣金+印花税+过户费+委托费+其他费 - 一级费用","dm_index_n.index_grp1_cust_otctotcms_nothlmtcond_tdy_ricc","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2025103005396346","客户_交易金额_无条件限制_当日_无备注信息","全部客户T-1日的银证转入转出&场内交易&场外金融产品交易&衍生品交易的总交易金额","dm_index_n.index_grp1_trdamt_uncondlmt_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023101969951934","客户_委托金额_直播_当日_零售和机构柜台","客户在直播间（含预告页、直播观看和回放观看）下单产品订单的客户（统计的为委托下单，非交割下单）
统计产品范围： 场内etf +场外产品","dm_index_n.index_grp1_trustamt_strm_tdy_retandorgcntr","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024041128136025","客户*产品*员工_创收_金融产品_当日&每日重刷上月数据_无备注信息","说明：因无法left join dm_index_n.grp_def，该指标在调度平台升级，确保允许产品编号，员工编号，客户编号为空的情况。


（允许指标的客户，产品，员工为空，升级在调度平台调整。）
指标中包含产品创收相关的明细创收，包括
,产品创收：tag999999999
,公募认购：tag074443516
,公募申购费：tag074443517
,公募赎回费：tag074443518
,公募管理费：tag074443519
,公募托管费奖励：tag074443520
,公募销售服务费：tag074443521
,公募交易佣金：tag074443522
,公募研发协同收入：tag074443523
,私募认购：tag074443524
,私募申购费：tag074443525
,私募赎回费：tag074443526
,私募管理费：tag074443527
,私募托管费奖励：tag074443528
,私募业绩报酬：tag074443529
,私募固定服务费：tag074443530
,私募浮动销售服务费：tag074443531
,私募开户佣金：tag074443532
,私募一次性管理费：tag074443533
,私募投资顾问费：tag074443534
,资管认购：tag074443535
,资管申购费：tag074443536
,资管管理费：tag074443537
,资管销售服务费：tag074443538
,资管业绩报酬：tag074443539
,资管交易佣金：tag074443540
,OTC产品创收：tag015508656","dm_index_n.index_grp3_cust_pd_emp_prdincome_nothselcond_tdy","是","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024062077860046","营业部&分公司本部_总创收_含交叉销售收入_当年_无备注信息","总创收包括：佣金净收入、保证金息差、两融利息净收入、股票质押利息净收入、产品收入、交叉销售收入。
①佣金包含普通账户、信用账户及衍生品账户佣金，对佣金（包括普通、信用账户）考虑了异地开户和两融协作分成（含研发分成）；
②对保证金息差考虑异地开户调整；
③股票质押利息净收入考虑了协作分成；
④两融利息净收入中，计入了两融净利息收入、转融通净利息及行权融资计提利息，其中两融净利息收入和转融通净利息均作分成处理；
⑤产品收入为产品实收口径，做同业切分及柜台切分","dm_index_n.index_grp1_tot_income_inclcsincome_year","否","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024101168454865","广发证券_应付利息_公司自营负债_当日_无备注信息","公司自营负债业务按日统计应付利息，包含债券负债，同业拆入，买断式正回购，质押式正回购，收益凭证，转融资，黄金租赁","dm_index_n.index_grp1_intr_payb_cocivliab_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024041258492002","客户_创收_全口径_月累计&每日更新过去3个月数据_零售和机构柜台","客户当月累计创收值，每日更新过去13个月数据，包括：传统业务创收，财富管理创收，证金业务创收，期权业务创收，交叉销售创收，总创收 具体口径及标签见：https://doc.weixin.qq.com/sheet/e3_AZYAGQY2APAaF81Kqm3TbmelhLgD4?scode=AH4A_wdgAAYqEWTV6kAUcAugYyAPM&tab=BB08J2","dm_index_n.index_grp1_cust_incm_allcali_mth_all","是","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024041139748851","客户_创收_全口径_当日累计&每日更新近3个月数据_零售和机构柜台","客户当日累计创收值，包括：传统业务创收，财富管理创收，证金业务创收，期权业务创收，交叉销售创收，总创收
具体口径及标签见：https://doc.weixin.qq.com/sheet/e3_AZYAGQY2APAaF81Kqm3TbmelhLgD4?scode=AH4A_wdgAAYqEWTV6kAUcAugYyAPM&tab=BB08J2","dm_index_n.index_grp1_cust_incm_allcali_tdy_all","是","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2025091140896235","客户_10至25日均净资产_大小非新三板折算&北交所及同业不折算&不含未到账资产_当月_零售和机构柜台","净资产口径含现金（普通账户、信用账户分公司
和衍生品账户），市值（普通账户，停用账户和生品账户，具体含场内股基债、场外金融产品、衍生品市值等）、利息（通用回购逆回购、金快线），剔除负债（通用回购正回购、两
融等合约负债），大小非、新三板资产按5%折算。
即：客户交易性资产 = 净资产-（新三板（剔除大小非和北交所）+大小非流通）*0.95 + 大小非限售*0.05
日均值为当月10-25日交易日日均
说明：
10号之前日均值=0
10-25号日均值=10号到当天的净资产总和/10号至当天的交易日天数
25号之后=10-25号净资产总和/10号至25号的交易日天数","dm_index_n.index_grp1_cust_avg_net_asset_xsb_covt_mth10to25_mon_ricc","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023081660380599","客户_保有份额_金融产品_当日_无备注信息","本指标包含以下用来区分交易额的标签：
1. 场内场外
2. 公募私募资管OTC
3. 场外公募产品
4. 线上线下
5. 基金投顾
6.资管（不含现金增利）
7.公募（不含基金投顾）
8.场外公募（不含基金投顾）
9.现金增利
10.资管大集合、资管小集合
11.公募_现金货币类_场内/场外
12.总值","dm_index_n.index_cust_ret_shr_finprd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024071252983618","客户*产品*员工_销售金额_金融产品&考核口径_当月_无备注信息","在筛选私财员工和私财客户的基础上，计算客户*产品*员工维度的销售金额。
指标中包含两个标签：
1、tag074444383：非固收产品+保险销售+跨境理财通南向通销售额。资产分类为非固定产品（权益类、另类投资类、海外投资类、混合类的产品）的当月总金额，（交叉销售表的数据需要打五折，部分客户应业务特殊要求不需要打折），指标中纳入保险销售收入。
2、tag015508657：产品类型为私募产品&资管小集合产品的销售金额。","dm_index_n.index_grp3_cust_prd_emp_saleamt_finprd_priemp_pricust_mth","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023071975977260","客户_重点投资品种_风险测评&个人客户_无计算维度_无备注信息","个人客户风险测评重点投资品种，问题详情：您打算重点投资于哪些种类的投资品种:①债券，固定收益凭证，固定收益类资产管理产品等固定收益类金融产品；市场资讯产品；②股票，权益类资产管理产品等权益类金融产品；投资资讯产品；混合类（投资品种含固收类、权益类、商品及金融衍生品类）金融产品；股票质押式回购，约定购回式证券交易，股权激励融资等融资类业务；③融资融券，转融通等信用交易类；商品及金融衍生品类资产管理产品等衍生品类金融产品；期货，期权等杠杆交易类业务；④结构化金融产品、场外衍生品等复杂或高风险类金融产品或业务；其他金融产品或业务。
题目选项：1:①②③④|2:①②③|3:①②|4:①","dm_index_n.index_grp_cust_impivstvar_riskasses","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024011024973819","客户*产品_产品到期日期_无限制条件_无计算维度_无备注信息","主要统计收益凭证、金快线产品到期日期，具体分类标签如下：
收益收益凭证（不含专享理财、私行）到期日期 tag074443264
专享理财收益凭证到期日期 tag074440756
私行收益凭证到期日期        tag074440757
金快线（剔除新客专享）     tag038358861
专享理财金快线到期日期 tag038358860
私募产品   tag015508657","dm_index_n.index_grp2_prdmatydate","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023122660260496","客户_到期产品_专享理财_未来3天_无备注信息","到期的专享理财产品(未来3天)
例如当前时间20231228，未来3天指20231228,20231229,20231230
专享理财包括：金快线、收益凭证","dm_index_n.index_grp1_matyprd_chrem_un3day","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023070550728964","客户_产品销售次数_无限制条件_当月_无备注信息","客户当月购买产品总次数，同一天多次购买同一个产品，则合并计算为一次,包含场外公募，私募，OTC，资管等","dm_index_n.index_grp_cust_prdsaletimes_mth","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023061265035383","客户_应收收入汇总_剔除托管费奖励&剔除公募交易佣金&剔除私募开户佣金_日_无备注信息","客户层级应收收入汇总,剔除托管费奖励/剔除公募交易佣金/剔除私募开户佣金,剔除投行分成,tag:场内场外,公私募资管OTC分类,tag999999999","dm_index_n.index_grp_prd_rcvb_sun_del_cstd_deal_cms_oact_cms","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2025031322952543","广发证券_杠杆倍数_种子基金_无计算维度_无备注信息","种子基金杠杆倍数。种子基金投资客户的 当月新增10-25日均净资产(含OTC剔除负债,元) / 我司新增用资","dm_index_n.index_grp1_lvrgmult_seedfnd","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2025040320718568","广发证券_应计利息_公司自营负债&近30天到期_当日_无备注信息","公司自营负债业务按近30天到期统计利息，包括同业拆入、银行间买断式正回购、票据质押式正回购、票据买断式正回购、质押式正回购、收益凭证、转融资、债券、黄金租借、黄金期权","dm_index_n.index_grp1_inta_cocivliab_30daymaty_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2025052731246159","营业部_创收_全口径&开户关系_当月_零售和机构柜台","计算开户关系下的机构层级当月累计全口径创收。
全口径创收 = 传统业务创收+财富管理创收+证金业务创收+期权业务创收+交叉销售创收；每天更新当月及上月数据，10号固化上月数据。","dm_index_n.index_grp1_org_income_fullcali_oactrela_mth_ricc","是","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023032228537278","客户_持仓明细_场外_近3个交易日_零售和机构柜台","1. 当前指标计算的是场外公募基金最近3个交易日的持仓情况
2.这里场外基金包括零售柜台+机构柜台 基金投顾、场外普通基金
3.指标内容格式：基金代码|基金名称|产品类型|基金运作方式|持仓市值,多个产品之间用：“ ; ” 进行分割
持仓市值为当天最新市值若当天没有持仓则显示：0，若当天持仓市值小于 100 则显示：0.0万元
如：010126|平安价值成长混合型证券投资基金|混合类|开放式|0.01万元","dm_index_n.index_grp_hld_pub_det_last_3trd","是","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2025051204681232","新媒体引流团队_新增资产_指定渠道_近3个月月均_无备注信息","近3个月月均，新媒体引流团队员工使用开户渠道标识的新增资产。
①客户条件：通过直播、图文引流的客户，满足新开户（首次开户6个月内），自新增资产转入之日起，10-25日交易日日均净资产大于等于1万的客户，纳入考核。
②资产条件：净资产口径含现金（普通账户、信用账户和衍生品账户）、市值（普通账户、信用账户和衍生品账户，具体含场内股基债、场外金融产品、衍生品市值等）、利息（通用回购逆回购、金快线），剔除负债（国债通用回购正回购、两融等合约负债），大小非、新三板（剔除北交所）资产按5%折算。
（2）新增资产计算规则
①月均新增资产=（新增考核资产T+新增考核资产T-1+新增考核资产T-2）/3
②新增考核资产T-1是指T-1月新增资产大于等于1万的客户在T月10-25日交易日日均净资产，以此类推。
③T-2到T月三个月，在T月需要按照上述客户和资产条件对客户情况进行判断，如客户在某个月 10-25 日交易日日均净资产小于1 万，则该客户资产不计算入当月月均新增资产。","dm_index_n.index_grp1_addast_asgnchan_lst3mth_avg","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024092676100482","客户_赎回次数_场外基金产品_当月_零售和机构柜台","客户赎回场外基金产品笔数：这里的基金包括公募，私募，资管（含现金增利），但不包括prd_no in ('87','01','02','czz')","dm_index_n.index_grp1_redptimes_otcfndprd_mth_ricc","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023032323309922","客户*产品_浏览次数_场外产品_当日_无备注信息","客户每日浏览场外基金、理财等产品次数","dm_index_n.index_grp_cust_prd_otc_view_times_daily","是","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023072606783599","客户_产品代码&产品名称&成交金额_场外公募基金&不含定投_近30天_无备注信息","指标值为：标签值为：基金代码|基金名称|成交金额，多个产品之间用：“ ; ” 进行分割","dm_index_n.index_grp_orddet_pub_fnd_last_30d","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2025041086249066","产品_添加自选人数_场内&场外_当日_无备注信息","T-1日，按广发通ID去重统计产品的添加自选人数","dm_index_n.index_grp1_self_pick_prsn_ost_otc_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023080936098235","客户_下单明细_场外公募基金&不含定投_最近1年_无备注信息","标签值为：基金代码|基金名称|产品类型|成交金额，多个产品之间用：“ ; ” 进行分割","dm_index_n.index_grp_cust_orddet_pubfnd_last1year","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023080902423801","客户_下单明细_场外公募基金&不含定投_最近3年_无备注信息","标签值为：基金代码|基金名称|产品类型|成交金额，多个产品之间用：“ ; ” 进行分割","dm_index_n.index_grp_cust_orddet_pubfnd_last3year","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2022123096403966","客户_总交易金额_场内和场外产品销售_当年_零售和机构柜台","在指标“总交易金额_场内和场外产品销售_零售和机构柜台”的基础上，计算当前自然年（自当年1月1日起）的累计值","dm_index_n.index_grp_trade_amt_exch_otc_year","是","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2022112312078515","客户_最长持仓天数_场外公募基金_无计算维度_无备注信息","客户单只场外公募基金连续持仓的最长天数","dm_index_n.index_grp_otc_fund_max_hold_days","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024032791480863","客户_佣金收入留存比例_交叉销售_当月_无备注信息","交叉销售中，针对某个客户，对应营业部佣金收入的当月留存比例","dm_index_n.index_grp1_cust_cmsincomeretprop_cs_mth","否","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023020858412011","客户*产品*员工_应收认购费_金融产品_当天_无备注信息","代销金融产品认购费,剔除投行分成,tag:公私募资管OTC分类","dm_index_n.index_grp_client_prd_emp_rcvb_scrp_fee","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023032918924513","客户*产品*员工_应收私募浮动销售服务费_金融产品_当日_无备注信息","代销金融产品私募浮动销售服务费,取产品中心下发实收数据,剔除投行分成收入,tag:公私募资管OTC","dm_index_n.index_grp_client_prd_emp_rcvb_flot_sale_serv_fee","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023031579103741","客户*产品*员工_应收个人奖励固定服务费_无限制条件_当日_无备注信息","代销金融产品 固定服务费,根据产品中心销售政策与全产品保有计算每日计提收入对应个人奖励,剔除投行分成收入,tag:公私募资管OTC","dm_index_n.index_grp_client_prd_emp_psnl_rwd_fixed_serv_fee","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023020876627559","客户*产品*员工_应收申购费_金融产品_当天_无备注信息","代销金融产品申购费,剔除投行分成,tag:公私募资管OTC分类","dm_index_n.index_grp_client_prd_emp_rcvb_purh_fee","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023030644490757","客户*产品*员工_otc保有应收收入_otc产品_当日_无备注信息","根据客户每日产品保有金额,计提的otc产品应收收入","dm_index_n.index_grp_client_prd_emp_rcvb_otc_tnr_rwd","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023030866006613","客户*产品*员工_应收私募线下管理费_金融产品_当日_无备注信息","代销私募金融产品线下销售的管理费,资管剔除成本后计入的产品管理费,取产品中心下发实收数据,剔除投行分成收入,tag:公私募资管OTC","dm_index_n.index_grp_client_prd_emp_rcvb_pvt_ofln_mng_fee","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023030865857757","客户*产品*员工_应收私募线下申购费_私募产品_当日_无备注信息","代销金融产品私募线下申购费,取产品中心下发实收数据,剔除投行分成收入,tag:公私募资管OTC","dm_index_n.index_grp_client_prd_emp_rcvb_pvt_ofln_purch_fee","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023030860968523","客户*产品*员工_应收业绩报酬_金融产品_无计算维度_无备注信息","代销金融产品业绩报酬,取产品中心下发实收数据,剔除投行分成收入,tag:公私募资管OTC","dm_index_n.index_grp_client_prd_emp_rcvb_perf_rwd","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023031505059091","客户*产品*员工_应收个人奖励私募线下申购费_私募产品_当日_无备注信息","代销私募金融产品线下申购费对应个人奖励,取产品中心下发实收数据,剔除投行分成收入,tag:公私募资管OTC","dm_index_n.index_grp_client_prd_emp_psnl_rwd_pvt_ofln_purch_fee","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023031597562640","客户&产品&员工_产品应收_otc保有奖励_当日_无备注信息","客户_产品_员工_otc保有奖励_个人应收奖励","dm_index_n.index_grp_client_prd_emp_psnl_rwd_otc_tnr_rwd","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023030850899235","客户*产品*员工_应收私募线下认购费_金融产品_当日_无备注信息","代销私募金融产品线下认购费,取产品中心下发实收数据,剔除投行分成收入,tag:公私募资管OTC","dm_index_n.index_grp_client_prd_emp_rcvb_pvt_ofln_scrp_fee","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023020847330680","客户*产品*员工_应收销售服务费_金融产品_当日_无备注信息","代销金融产品 销售服务费,根据产品中心销售政策与全产品保有计算每日计提收入,剔除投行分成收入,tag:公私募资管OTC","dm_index_n.index_grp_client_prd_emp_rcvb_div_sale_serv_fee","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023031523853017","客户*产品*员工_应收销售服务费个人奖励_无限制条件_当日_无备注信息","代销金融产品 销售服务费,根据产品中心销售政策与全产品保有计算每日计提收入对应个人奖励,剔除投行分成收入,tag:公私募资管OTC","dm_index_n.index_grp_client_prd_emp_psnl_rwd_div_sale_serv_fee","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023031565094977","客户*产品*员工_应收认购费个人应收奖励_无限制条件_当日_无备注信息","代销金融产品认购费个人奖励,剔除投行分成,tag:公私募资管OTC分类","dm_index_n.index_grp_client_prd_emp_psnl_rwd_scrp_fee","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023020834897583","客户*产品*员工_应收管理费_金融产品_当日_无备注信息","代销金融产品 管理费,根据产品中心销售政策与全产品保有计算每日计提收入,剔除投行分成收入,tag:公私募资管OTC","dm_index_n.index_grp_client_prd_emp_rcvb_mng_fee","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
