"任务ID","任务名","类别","图覆盖状态","覆盖解释","读取观察数","写入观察数","SQL词法筛查线索","JOIN词频","UNION词频","GROUP_BY词频","窗口词频","聚合函数词频","CASE词频","SQL槽内容SHA256","代表核对编号"
"64205","PDATA_N.T03_AGT_STAT_H_RCC008","hiveTask","PROJECTED","DATA_LINEAGE","3","2","多来源或计算线索","0","4","0","0","0","0","query:65dd7aea6026e36b61fb8adfbe2e37005ba044d40006cd69c84fb6ae10184004",""
"64210","PDATA_N.T03_OAO_ORD_INFO_OAO001","hiveTask","PROJECTED","DATA_LINEAGE","3","2","多来源或计算线索","1","2","0","0","0","0","query:1e937399c984f09efbe202b7883a7fe9a2688307566a99ba0d819f5eecdfb5ac",""
"64260","SPDATA_N.T03_PO3_COMB_HOLD_ADTNL_PO3065","hiveTask","PROJECTED","DATA_LINEAGE","8","1","多来源或计算线索","6","1","0","0","0","6","query:4a99e5abc027662ae6dda5cd0ec3b748697273c09bd79d226d281725e4c1a6fb",""
"64303","PDATA_N.T03_AGT_ICC008","hiveTask","PROJECTED","DATA_LINEAGE","3","2","多来源或计算线索","0","3","0","0","0","3","query:5d9fa60095115ed91a67bb9478920d0a71e31d0f8f517f63b77568f5e3ed9f74",""
"64377","odata_n_rcc.a_soptreg_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:742dc852795d6c80d3f4faf951da88f82cefafefcdbfdfd66dbf488be9ba0a5f",""
"64605","PDATA_N.T05_AMS_TA_TRD_CFM_EVT_TA5017","hiveTask","PROJECTED","DATA_LINEAGE","2","2","未见复杂算子线索","0","0","0","0","0","0","query:997da0104c4f7d9fe1c8bce292bf2e2bff0f171f825a4f2b1db34fc182beff21",""
"64649","PDATA_N.T03_AGT_INTR_H_RCC023","hiveTask","PROJECTED","DATA_LINEAGE","3","1","多来源或计算线索","2","0","0","0","0","2","query:cdb7238784dcb2691419aaf9761fcc137a1fa1bd2c34b4db7110521774a0eeeb",""
"64763","odata_n_uip.w_CFuturesPriceChangeLimit_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:a9d2ea60d9d12ecfd7587f4314f2a056b46f4c58873465eb6fd57add1831284e",""
"64777","PDATA_N.T05_AMS_TA_OTC_MTCH_CFM_EVT_TA5021","hiveTask","PROJECTED","DATA_LINEAGE","3","1","多来源或计算线索","2","0","0","0","0","1","query:3b24d88a67ebe34465446e04df980680450226536296b729e1e43893ed0ce80f",""
"64854","PDATA_N.T05_GKS_OACT_RSRV_EVT_GKS041","hiveTask","PROJECTED","DATA_LINEAGE","1","1","条件转换线索","0","0","0","0","0","5","query:a180b44744fe2a8d352a05af9841b9a008609d8fbad989134dde79797bb8c630",""
"64970","odata_n_ois.g_fdsypz_ledger_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:875e9c0453ac0e9fa92d720177d616ee41bd62a9b4e49f57331030525a402501",""
"65237","PDATA_N.T05_AMS_DIVD_DET_TA5039","hiveTask","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:cfe64220ea6266275d7479f80734a5cf3bcbc863f76857c376f7f5d52bef9533",""
"65292","odata_n_prd.sql_basicproduct_unitnet_h03_f","postgre2hive","PROJECTED","DATA_LINEAGE","3","1","多来源或计算线索","2","0","1","0","1","0","query:d7619229e38b0ec3ab3b36cf14f3f00835d8322a6883999f4fb14e4d6bca7eb7",""
"65423","PDATA_N.T05_EXCH_SOPT_SHR_CHG_EVT_RCC166","hiveTask","PROJECTED","DATA_LINEAGE","3","1","多来源或计算线索","2","0","0","0","0","0","query:86261e4497aa6a82a4a66f1a53a455eb57f1abe38d2aa1873becd8333e0f3e31",""
"65513","PDATA_N.T05_ACCT_CHG_EVT_RCC052","hiveTask","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","3","0","0","0","0","4","query:071da0066a6f2f9de0abf1eb865b833214fb391cc620ccb71fab4b1085b0e1ba",""
"65538","PDATA_N.T03_AGT_INTR_H_RCC087","hiveTask","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","4","1","1","0","1","5","query:32416e34b14597db219bcc040eef16cc4247b3b3ef54f4e786c8ab531e1dc439",""
"65648","PDATA_N.T05_INCOME_VCHR_ENTR_EVT_RCC055","hiveTask","PROJECTED","DATA_LINEAGE","3","1","多来源或计算线索","2","0","0","0","0","1","query:d84af6682d4a513f5eea04e70bafe8cb1150dbb4788487b836f54731d0204c62",""
"65803","PDATA_N.T03_AGT_INTR_H_ICC087","hiveTask","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","4","1","1","0","1","5","query:13ff382599d6498fb079a9e4deb5d39a759d7e073202e2c0fd18098be10bd464",""
"65920","PDATA_N.T05_WECOM_KYC_AUTH_EVT_CRM060","hiveTask","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:516ee201f6a995f34641f86a0653ce9175cb6142115ba77604b4c60b96aceae7",""
"65968","PDATA_N.T97_ECF_CUST_BASE_INFO","hiveTask","PROJECTED","DATA_LINEAGE","2","2","多来源或计算线索","2","0","0","0","0","5","query:f5b60cc460523f2ea3f5bb5aadcfa8530bafc4db003169b17f1697c1bababafc",""
"65975","odata_n_uip.w_asharecjzqindustriesclass_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:f3934a1d338e70e53269d7d72697b26f0076242190769609f69c6d5851f11225",""
"65994","pdata_news_n.t02_marg_base_info_RCC","hiveTask","PROJECTED","DATA_LINEAGE","4","2","多来源或计算线索","2","2","0","3","0","0","query:9b0383b007b03cee9e0b3c3a7932657be109da1b1394fd462f7abe2af8689554",""
"66002","pdata_news_n.t02_stk_base_info_WD_Ashare","hiveTask","PROJECTED","DATA_LINEAGE","3","1","多来源或计算线索","3","0","0","0","0","3","query:b19815d0f560f0ba0a2440d98c9a5f1181eb9cd498a46a81f136843cb9931b61",""
"66021","pdata_news_n.t02_marg_base_info_ICC","hiveTask","PROJECTED","DATA_LINEAGE","4","2","多来源或计算线索","2","2","0","2","0","0","query:f44e3b3819955e0301c5671db1336d69397f227dcfca3bf5f43e842c91e59bf4",""
"66039","pdata_news_n.t02_stk_base_info_WD_Bshare","hiveTask","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","4","0","0","0","0","1","query:68134cef09a408ba433cc6e3692a816e9432dca5b64633b174ec138b631d7013",""
"66040","pdata_news_n.t02_stk_base_info_WD_Neeq","hiveTask","PROJECTED","DATA_LINEAGE","3","1","多来源或计算线索","3","0","0","0","0","1","query:cdece283ddab817c34c62361f162f0e6037c28b39d6103181da22220635c7b87",""
"66041","pdata_news_n.t02_stk_base_info_WD_Hk","hiveTask","PROJECTED","DATA_LINEAGE","2","1","多来源或计算线索","2","0","0","0","0","2","query:267cf80a1569f244a708151b4eab1d25524aa029b412db198198c11ec8166cc9",""
"66042","pdata_news_n.t02_stk_base_info_WD","hiveTask","PROJECTED","DATA_LINEAGE","0","0","无可读SQL","0","0","0","0","0","0","",""
"66058","odata_n_tit.d_v_margin_account_for_risk_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:0eb13585d1f4d3d5b5630e6dd511cb9faddc6c358fa79482b2585ba53fe93cc4",""
"66061","odata_n_xir.t_ttrd_otc_trade_extend_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:e2e0a19d3622c9f30ff2e22956bf224662f500cc3a7c624f476a85a2d682d62b",""
"66063","odata_n_xir.m_tbill_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:171a393a40c6b2788c4be9bd279096d188237f0bace01e183575b6ddd0742573",""
"66090","PDATA_N.T05_OTC_CHREM_ENTR_EVT_RCC057","hiveTask","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","3","0","0","0","0","15","query:e8016ce297a22e5ec621d8256bd4564f6278706d0e13f239172b71f45ee049a0",""
"66092","PDATA_N.T98_CUST_PRD_RET_INFO_OFF","hiveTask","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","3","4","0","0","0","3","query:dc71ba4b4f8eea59e7e3fae65579fba4e6c463517fa5394575e75d93cea91931",""
"66093","PDATA_N.T98_CUST_PRD_RET_INFO_OTC","hiveTask","PROJECTED","DATA_LINEAGE","12","3","多来源或计算线索","9","12","3","3","6","3","query:ae50bdb9df91c1fb59175de4855511c497dee47e460206fb34a069f6e2b2714e",""
"66099","pdata_news_n.t02_scr_trd_cal_TL_md_trade_cal_grp01","hiveTask","PROJECTED","DATA_LINEAGE","5","1","多来源或计算线索","8","0","0","7","0","2","query:c6a8717fe38c0d60d2885c61d143ced049cfc5e8b0b9c3e5c918e8ddbcc19911",""
"66109","PDATA_N.T98_CUST_PRD_INCOME_INFO_PRD","hiveTask","PROJECTED","DATA_LINEAGE","23","1","多来源或计算线索","20","5","5","8","7","11","query:279aadf0767c76f663ead49c713cbaa2c301e6820f9a9cd38fa32c09e9f6c04e",""
"66118","odata_n_tit.d_v_trs_for_risk_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:6a86f4ca43664b7502b2f97cbaebb769b23959c5c62d5a9b0ad1f2e31dfcd486",""
"66119","odata_n_tit.d_v_trs_param_for_risk_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:e1bba1c7f9401142d782b6cc7b22f22b40f0f856f625929a49df0f6b872d39f9",""
"66120","odata_n_tit.d_v_margin_param_for_risk_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:48bc31573b548743e3d7de04a71d31048c35a7606efc321a4d8b5b21e93cd220",""
"66124","pdata_news_n.t02_prd_unit_nav_h_PCR","hiveTask","PROJECTED","DATA_LINEAGE","1","1","多来源或计算线索","1","0","0","0","0","0","query:0db450c183efc9b96e2c71b3ecf5a18424756d28327fd003cb52b51df2ac0dbf",""
"66125","pdata_news_n.t02_stk_compnt_info_WD_HK","hiveTask","PROJECTED","DATA_LINEAGE","4","2","多来源或计算线索","4","0","0","0","0","0","query:17dc0011112befd0ed16cb140c03b8f17422f5da53dd13f6bafbe68317d0b123",""
"66147","PDATA_N.T98_CUST_INDV_CUST_BASE_INFO","hiveTask","PROJECTED","DATA_LINEAGE","11","2","多来源或计算线索","10","0","1","1","9","10","query:c5e56cdbabe37caff6a3bcc5de54e08b9b593147ef5d1f3afa6fb7eb2fdab5c8",""
"66148","PDATA_N.T98_CUST_CORP_CUST_BASE_INFO","hiveTask","PROJECTED","DATA_LINEAGE","19","2","多来源或计算线索","18","0","4","0","35","36","query:e25eb3e4ac30ed9b1b64ff2fe26c631f2b3c9a567d973516b15f1de76155a831",""
"66185","pdata_news_n.t02_exch_quot_s_ICC","hiveTask","PROJECTED","DATA_LINEAGE","6","2","多来源或计算线索","4","0","0","0","0","3","query:b6555155df8b18b3a91e5a43cb2ac3e4d44aa8000dc659aefb0e1ae21eefecf6",""
"66187","PDATA_N.T98_CUST_PRD_RET_INFO_CBS","hiveTask","PROJECTED","DATA_LINEAGE","8","2","多来源或计算线索","6","0","2","2","4","4","query:7a56108a8e0c835022bdb0bd4fde032c6a824a505d242a94c05f46a747c9fd2f",""
"66203","pdata_news_n.t02_exch_quot_s_RCC","hiveTask","PROJECTED","DATA_LINEAGE","11","4","多来源或计算线索","12","0","0","2","0","5","query:0d6439bd35ceb05b86672dfcd03dd77aa80dcbae8416e94f792ff7a82e5bd508",""
"66204","pdata_news_n.t02_prd_fin_info","hiveTask","PROJECTED","DATA_LINEAGE","2","1","多来源或计算线索","2","0","0","1","0","3","query:b15f3227d0e170a9590adac6c47c46870cc801d9206d895f89c14b0009b02bc4",""
"66240","odata_n_uip.w_usstockeodprices_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:5c60d562f5eb6289acced32d1500275f828bbb033423f58585c81820ab9c5655",""
"66251","pdata_news_n.t02_scr_type_PRD","hiveTask","PROJECTED","DATA_LINEAGE","5","2","多来源或计算线索","4","0","0","0","0","3","query:16f7a8713e724d3937f398b194886592829398658f5c9e62f9130a03711eed2d",""
"66263","pdata_news_n.t02_stk_base_info_WD_CDR","hiveTask","PROJECTED","DATA_LINEAGE","3","1","多来源或计算线索","3","0","0","0","0","0","query:460673fdef7f02b1ae643ed7c99de90963cc9bd0c25932374b2e97f2b1e3fa57",""
"66278","PDATA_N.T98_CUST_PRD_SALE_INFO_SEC","hiveTask","PROJECTED","DATA_LINEAGE","10","3","多来源或计算线索","4","3","6","0","18","15","query:4b71bcda21c03c9d6177edf07f3e4b13a462a9753e35f29685334577f17ab6d5",""
"66285","PDATA_N.T05_OAO_APPLIES_EVT_OAO006","hiveTask","PROJECTED","DATA_LINEAGE","1","1","条件转换线索","0","0","0","0","0","1","query:64e2762ab0781fa6843408cee551b86e2581218c4bb3c562b2a40641e1f1c143",""
"66297","pdata_news_n.t02_fxr_incon_RCC_h_his_securate_grp01","hiveTask","PROJECTED","DATA_LINEAGE","1","1","多来源或计算线索","1","0","0","0","0","1","query:3aab46e27d0f51775ced4cde6f4f1f042ee2e294f1def0680a89a325ce86d3be",""
"66411","dm_index_n.hold_tag_relation_tagdim000020","sparkIndex","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","2","0","1","0","0","0","query:018c2848705476128efb51fc8926bb78fd9f51420324539dad9125f1d02a9d48;prepare:d9f2e6e8fa62f2cd7eb1fd3c26c22b08154c1ff5d170634c9a1ec43abc0ffcd6",""
"66412","dm_index_n.hold_tag_relation_tagdim000019","sparkIndex","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","2","0","1","0","0","0","query:621fb64be72f37c479340cf5cdf2a0df55521dadd70c759087502345dc3c09b8;prepare:a719746a4ce32b532cccc919f962f589d40e7f30494e48d4634a2ad074586ddf",""
"66413","dm_index_n.hold_tag_relation_tagdim000024","sparkIndex","PROJECTED","DATA_LINEAGE","5","1","多来源或计算线索","3","0","1","0","0","0","query:3e4781ebcb589f90ce8114fb01f62d139372cff60cfb38e843a5b061e4deb86f;prepare:aacde16591a5e86e8ba851af3c23cad5cd994d06c6554b2f4bf6d020b66c7eb8",""
"66415","dm_index_n.hold_tag_relation_tagdim000022","sparkIndex","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","2","0","1","0","0","0","query:b14f752058f1df0f219cefdf718e1e5f599c173c198e83b3b395f2150b4f2375;prepare:75bd58dbce81e16dcae69f381b60bb8bc352ead45183e5f675b3ba43a2a98d59",""
"66416","dm_index_n.hold_tag_relation_tagdim000021","sparkIndex","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","2","0","1","0","0","0","query:2f721305c4d75527ea13689bd7ab9d2a732fec092f7891040a4c1302e65fc52d;prepare:008f86d68cf3efa8a99fb6e3c398122be9f94591a528333d452b35fcbe5f6d13",""
"66417","dm_index_n.hold_tag_relation_tagdim000028","sparkIndex","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","2","0","1","0","0","0","query:04b233bbb1126d6e7a2b9da49e150cf738eaa934c506867f3596e14370e75d87;prepare:a70d06af8a9e9766552568f23a4ed2dd62e0bb3d96d0fcd62f4ea0306a8c6cc5",""
"66418","dm_index_n.hold_tag_relation_tagdim000027","sparkIndex","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","2","0","1","0","0","0","query:d2788476aebdf56f9120c5542e0b17372f18193ab4515b5d01fabbbefa7dd95b;prepare:03c873603abf2148fbb9f8a63808031664ec71c9ea9b848b992f9588b72b81b2",""
"66419","dm_index_n.hold_tag_relation_tagdim000026","sparkIndex","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","2","0","1","0","0","0","query:bf838f2beceb06f3f8a4bdf8ed63ecf8f32cd8634c33649bb118dbef59d9eabc;prepare:4ee1688c2af6a2b5bbfa40f34661d64475d1363dd047b479769ed20ee3a3646c",""
"66425","dm_index_n.hold_tag_relation_tagdim000082","sparkIndex","PROJECTED","DATA_LINEAGE","2","1","多来源或计算线索","1","0","0","0","0","0","query:fcab40adebd81c043c12b2144cf50ace87652fd91071cc20f5a48a4118b5dcb5;prepare:4e28176992913e5e3870224c80f6ef89ec8458c2c53d6e2bdc23bfae03e0ac0a",""
"66471","dm_index_n.hold_tag_relation_tagdim000025","sparkIndex","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","2","0","1","0","0","0","query:7d80ff25b7ffc23cd757462e7561df3936acd8d67112dea89339744a42ee2f27;prepare:8a7014709a8e3562f5dfd66775e60cfd12c09dad6d69e58019561a3f30243589",""
"66492","dm_index_n.grp_hold_relation_CORP_CUST","sparkIndex","PROJECTED","DATA_LINEAGE","3","1","多来源或计算线索","2","0","0","0","0","0","query:6d94bfc89e8871d6b5dce5b7a36098780aeb699ad7d9ee7afadba9a29a64346b;prepare:3b79e9297a51d912f1667dae0c091512172402cbd6fcf54322a6794ecfe8082d",""
"66493","dm_index_n.grp_hold_relation_BUSINESSOFFICE","sparkIndex","PROJECTED","DATA_LINEAGE","3","1","多来源或计算线索","2","0","0","0","0","0","query:5776a29cdb12c4f7ac3897c03cc59d2e23f17b5c4a77eb6e884c0e749a9b14b1;prepare:27fe971588ba94853ce92a4c4d112b253b974fbb66a61bc924c39b7844dbab3f",""
"66496","odata_n_tit.d_v_trs_nav_acc_for_risk_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:1c2478709808a2b955c597541111b3e81f5c70a11c648e33a7916f0b0ece5b48",""
"66502","dm_index_n.grp_hold_relation_BRANCHOFFICE","sparkIndex","PROJECTED","DATA_LINEAGE","3","1","多来源或计算线索","2","0","0","0","0","0","query:e170f87aa5048cc690836cf337170c6212360a867a77c119caa00e6e5a6734ef;prepare:f64811cb3a0c9d5d44229c7aac3f86af7f461850ee3f72929a64e5ad37b6bc2b",""
"66506","odata_n_uip.w_chinamutualfundshare_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:bce5d749400481c4a62c254bcf19fc832bb786f65642712cfe5f33928f118e58",""
"66515","odata_n_uip.w_tb_object_0001_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:8d14f1ce303a1b87cd6cc5a3739487e46c99527243a068817bccaee8a7474777",""
"66539","dm_index_n.hold_tag_relation_tagdim000084","sparkIndex","PROJECTED","DATA_LINEAGE","2","1","多来源或计算线索","1","0","0","0","0","0","query:435fc663e18cb99b6d47a0f496efea1d86737d6a655cbcc6c7edb0f7b2089874;prepare:b5a39367766a223e3b754b4b533784efa6923e65aad34d97cff3c39209a535e6",""
"66541","dm_index_n.index_grp_trade_amt_exch_rcc","sparkIndex","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","3","0","1","0","1","0","query:24d827c0979fa3c5f039882c47327efedbf7b77c9c9fd17723909f3e2d8dfcd4;prepare:5dfd1b7d372830b03f87f7a52f2bee0ca7e346409e07b0df6019950cb926e867",""
"66551","dm_index_n.hold_tag_relation_tagdim000009","sparkIndex","PROJECTED","DATA_LINEAGE","5","1","多来源或计算线索","4","0","1","0","0","0","query:b47ceb2febfa7f61421753a2d55c21efe89032a9688a403fed577aa0f3bf954c;prepare:86dfc0ebbbab6d2cd2eb28cc74c01cbdfac51a5e1217bdf79af9c893781445bf",""
"66554","odata_n_uip.w_chinamutualfunddescription_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:2419f1d7266119df0dd2b58cc4d1bfea31d444376a75c508261ec9ef35f2f87f",""
"66592","dm_index_n.grp_hold_relation_INDV_CUST","sparkIndex","PROJECTED","DATA_LINEAGE","3","1","多来源或计算线索","2","0","0","0","0","0","query:0710f10dfbc05e45aa65bb446470e19ed586b2c9c47bc05e0cb06cb1bdd54b7e;prepare:63f8108a1dc5fad06347f66145b3c758e958c18ca014080aef0e8563f2d85e24",""
"66616","dm_index_n.hold_tag_relation_tagdim000002","sparkIndex","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","3","0","1","0","0","0","query:27cf3b97d289a5d69399ed13251973f7e86478414568736a5348b199274c1936;prepare:1354165470232659df3c2b5a117325763d43f139a9050e4c3088a0b7503386bf",""
"66632","dm_index_n.hold_tag_relation_tagdim999999","sparkIndex","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:c33122524cf09cbd736d6d10c4f569c9dbf8252d9869fea43542b2adee5ec298;prepare:5d2ab3cd0d36a0826a431a6a312b7183e47fda07e9b4eb516d0b9dad5fbb93a0",""
"66665","dm_index_n.hold_tag_relation_tagdim000001","sparkIndex","PROJECTED","DATA_LINEAGE","2","1","多来源或计算线索","1","0","0","0","0","0","query:577efe2a873d11b79ee5ce6b4e872158a58e7822d4cff015d293e75df803cd15;prepare:7751d3727165995d0fa52cf5ee754ab1c759f4307114c18d3f36cfeb9d9bd8eb",""
"66670","dm_index_n.hold_tag_relation_tagdim000032","sparkIndex","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","2","0","1","0","0","0","query:30adf0d7b059ab9c8326a09814a326758e3f71d7008ea49155c84f5392d08b84;prepare:edb8e948e5a21a11487bc2199fb3fa22709312c2832a1c00d9a3d12d30a41923",""
"66676","dm_index_n.hold_tag_relation_tagdim000005","sparkIndex","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","3","0","1","0","0","0","query:28970ecfecbda7f832d0f1a9fc726dc39499568fb941e7f0700f27a15403f31c;prepare:1d253fb472678f83c4ba4533351c65f29b20bcf86cc358579c5c995d79227ede",""
"66686","dm_index_n.hold_tag_relation_tagdim000036","sparkIndex","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","2","0","1","0","0","0","query:15687a6cf6a4a2bec3c69f119337889883aa0a60b3a33afa3bb70ab5f5087a53;prepare:18e8079ce07d524a923efb494e1e1ef05ea3f9d4f1cbaecb5f165d20bac95ee2",""
"66704","dm_index_n.hold_tag_relation_tagdim000014","sparkIndex","PROJECTED","DATA_LINEAGE","2","1","多来源或计算线索","1","0","0","0","0","0","query:73bee618bacfa4e5d0baf073950502fd3370df3f2df238e921d048266faa2a89;prepare:03f610789092d94cf381e7e4899a0020e7c8563ec6618f27e938d80cf3abbe99",""
"66715","odata_n_uip.w_asharemargintrade_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:55a38e61871f2fcad739c84eab3f9d41b3909361ec30930473e657c875508461",""
"66725","odata_n_tit.d_v_marketval_acc_for_risk_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:db988917c8be7cd6a34ea39dfb4b315965c0fa3fd7765dac716f5b49c5c72bd8",""
"67148","odata_n_tit.d_risk_pressure_test_loss_detail_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:86bf97e8a0c9e4877fe5e98988463dd4d3bdf6eb63ea37af3473b4b9e7f5192b",""
"67157","odata_n_uip.w_aindexmembers_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:65d2d61a26bf0131f43c39f57d38fb1e94a4bd7469e79abd5924a6f91b352e99",""
"67174","odata_n_uip.w_asharedividend_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:14f8e0d19622e7144e86499ef720d000e83f96f054d5a7b351221ae0eea9231e",""
"67175","odata_n_uip.w_ashareindustriesclass_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:a4d254e116268cfab7487370d485f2827244bc3429154ae3f159acadb4085d10",""
"67337","odata_n_crm.c_tgqjl_jldxgl_f","postgre2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:a8f226870ac26833c25b0c56518ebd142ba90e0186bbcc27d74c6275b139b781",""
"67432","odata_n_uip.q_equ_inst_sstate_f","mysql2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:9864f47d34562807af1a5deab12521c0d2e16a98921b15ea33aca25e33e67e93",""
"67435","odata_n_crm.c_tssgskh_khbl_f","postgre2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:9aca08bf49ba3e07b74e5dd86c39bc9a8a4acfb0f0833fb96447a83e48b4be00",""
"67694","odata_ecif.ecif_e_t01_prod_cust_info_s","postgre2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:d183c48536cbf2b893c1fa536b65eb012de52e585468e678754f06a425ac1ae4",""
"67780","PDATA_N.T98_CRM_CUST_CHAN_INFO","hiveTask","PROJECTED","DATA_LINEAGE","22","2","多来源或计算线索","8","1","0","1","0","7","query:1959641553e8796875e50655e5a3fc922b519dec695bbf742ab43b4d8c59b102",""
"67872","odata_n_uip.q_mkt_fundd_adj_f","mysql2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:254cf8ceec4fa61be42329cbb12330047b916e6371dc9bf63b9465992897a51a",""
"67899","PDATA_N.T97_ECF_CUST_ACCT_INFO","hiveTask","PROJECTED","DATA_LINEAGE","5","2","多来源或计算线索","5","0","0","0","0","2","query:82332e4bbbacc5b02eee48a06f8f0a0ce3fd1888e4463b35271fbc28d374ed06",""
"68005","PDATA_N.T98_BROK_IMP_CUST_LIST_CRM057","hiveTask","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:fd41b85c470c13a4c3c7fc7e3e01b84e5ee76c65362255da44e873d7a993ff90",""
"68061","PDATA_N.T98_CUST_BROK_MNG_RELA_INFO","hiveTask","PROJECTED","DATA_LINEAGE","4","2","多来源或计算线索","20","0","4","1","69","43","query:82aa5313001cf6414b22535757ada2401c2b8c7677dbe2038ab9fbbc2b550e2e",""
"68094","PDATA_N.T98_BROK_AST_ACCT_BASE_INFO","hiveTask","PROJECTED","DATA_LINEAGE","9","1","多来源或计算线索","9","0","3","0","3","2","query:be072d4fcb4b61c3cd8d4275b22497c0f4c8728f0ad94229b517257800148346",""
"68196","PDATA_N.T98_BROK_SCR_ACCT_BASE_INFO","hiveTask","PROJECTED","DATA_LINEAGE","5","1","多来源或计算线索","6","0","1","0","1","1","query:bb2d7ecfdd43392d0eb02c3ca09bf31d6bfd5f28051314ba54f9b56f163e16e3",""
"68275","PDATA_N.T98_BROK_INDV_CUST_BASE_INFO","hiveTask","PROJECTED","DATA_LINEAGE","27","2","多来源或计算线索","30","0","1","0","1","6","query:c39cf438f032acd57a1308601acf7768ea89b4c48d08da748f338cdb48954f2b",""
"68399","PDATA_N.T98_CRM_OACT_PTY_ID_MOBILE_MAP_INFO","hiveTask","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:ab6f9c0ad664b80043c9ede93c3cf98faf5949ab26c145dfb115a6d87702cfcd",""
"68408","odata_n_uip.w_asharest_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:fabddbed0d89a8977922e5eb78e8242daf4629d8e41cdd43d4944a4b172562f0",""
